Team;Bahrain;Saudi Arabien;Australien;Japan;China;Miami;Imola;Monaco;Kanada;Spanien;Österreich;Großbritannien;Ungarn;Belgien;Niederlande;Italien;Aserbaidschan;Singapur;Austin;Mexico;Brasilien;Las Vegas;Katar;Abu Dhabi
Eric;67;66;54;52;49;65;52;40;44;59;59;51;38;67;35;57;76;57;55;57;70;65;131;49
Fabian;47;43;31;64;72;70;75;52;53;54;85;52;63;62;43;69;37;65;59;48;61;53;115;63
Joshua;66;52;71;68;69;74;70;54;48;62;69;57;69;59;41;83;74;65;77;56;135;57;162;73
Julius;66;63;72;68;93;69;70;82;42;75;73;80;59;58;63;81;51;66;76;68;107;57;167;64
Katha;56;53;70;68;60;104;69;69;36;63;65;84;69;60;65;80;62;51;76;58;109;71;146;67
Marcel;65;61;65;63;58;77;71;69;28;71;75;84;60;69;42;71;50;60;92;68;107;69;158;62
Martin;64;66;64;68;69;69;57;61;54;62;67;51;60;58;63;70;71;44;52;50;95;68;163;44
Max;55;52;54;56;60;75;69;46;26;55;89;26;48;68;51;55;65;34;59;46;-3;47;46;27
Paul;66;59;70;67;66;69;86;46;38;66;64;80;60;69;75;70;43;66;61;66;125;61;126;62
Wilhelm;48;54;67;60;59;65;66;57;37;48;52;43;61;52;67;63;19;72;50;46;77;62;102;60
